STATE,Mean.Asset.Score(2005-06),Mean.Asset.Score(2015-16),Gini.Coeff(2005-06),Gini.Coff(2015-16)
andhra pradesh,0.286,0.357,0.394,0.27
telangana,0.286,0.357,0.394,0.27
arunachal pradesh,0.294,0.331,0.426,0.306
assam,0.282,0.313,0.413,0.289
bihar,0.212,0.227,0.446,0.401
chhattisgarh,0.231,0.312,0.46,0.342
delhi,0.594,0.533,0.236,0.194
goa,0.56,0.576,0.263,0.18
gujarat,0.399,0.41,0.333,0.269
haryana,0.416,0.516,0.331,0.2
himachal pradesh,0.448,0.491,0.277,0.2
jammu and kashmir,0.405,0.444,0.322,0.256
jharkhand,0.212,0.255,0.535,0.396
karnataka,0.331,0.41,0.396,0.257
kerala,0.495,0.577,0.241,0.169
madhya pradesh,0.247,0.316,0.498,0.376
maharashtra,0.376,0.408,0.375,0.275
manipur,0.36,0.403,0.307,0.256
meghalaya,0.292,0.326,0.366,0.27
mizoram,0.433,0.458,0.278,0.252
nagaland,0.311,0.355,0.332,0.274
odisha,0.223,0.274,0.486,0.36
punjab,0.505,0.58,0.272,0.164
rajasthan,0.279,0.355,0.481,0.34
sikkim,0.366,0.396,0.293,0.163
tamil nadu,0.317,0.435,0.404,0.237
tripura,0.288,0.326,0.336,0.263
uttar pradesh,0.264,0.319,0.46,0.363
uttarakhand,0.41,0.434,0.351,0.254
west bengal,0.261,0.311,0.455,0.312
all india,0.307,0.365,0.431,0.323