statename,avgmonthlysalary
ANDHRA PRADESH,18.52
ARUNACHAL PRADESH,15.59
ASSAM,17.86
BIHAR,19.96
GOA,15.54
GUJARAT,18.88
HARYANA,17.33
HIMACHAL PRADESH,16.64
JAMMU & KASHMIR,17.01
JHARKHAND,18.43
KARNATAKA,19.15
KERALA,18.29
MADHYA PRADESH,19.74
CHHATTISGARH,17.57
MAHARASHTRA,20.11
MANIPUR,16.42
MEGHALAYA,16.26
MIZORAM,15.39
NAGALAND,16.12
ORISSA,18.791
PUNJAB,18.12
RAJASTHAN,19.74
SIKKIM,15.13
TAMIL NADU,19.6
TRIPURA,16.76
UTTAR PRADESH,20.73
UTTARAKHAND,17.14
WEST BENGAL,20.21
ANDAMAN & NICOBAR ISLANDS,14.35
CHANDIGARH,14.94
DELHI,17.1
PUDUCHERRY,15.62
TELANGANA,