district,year,state,effective_number_of_political_parties
kupwara,2014,jammu kashmir,3.3034488250465417
baramulla,2014,jammu kashmir,4.252680375573411
bandipora,2014,jammu kashmir,2.962753813783287
ganderbal,2014,jammu kashmir,3.008916668382888
srinagar,2014,jammu kashmir,3.2885895685461266
budgam,2014,jammu kashmir,2.7615457136462043
pulwama,2014,jammu kashmir,3.6615616787040777
shopian,2014,jammu kashmir,3.7226883182629327
kulgam,2014,jammu kashmir,2.930400498582855
anantnag,2014,jammu kashmir,2.902303779618103
singrauli,2013,madhya pradesh,3.6022248117497546
leh,2014,jammu kashmir,2.990397412061239
kargil,2014,jammu kashmir,2.7629243185622925
kishtwar,2014,jammu kashmir,2.7969661789386886
doda,2014,jammu kashmir,3.464375298877828
ramban,2014,jammu kashmir,3.8112871234473094
reasi,2014,jammu kashmir,4.1008490505987565
udhampur,2014,jammu kashmir,3.1863994545423484
barabanki,2012,uttar pradesh,4.192681465002263
kathua,2014,jammu kashmir,2.884646143397087
samba,2014,jammu kashmir,3.0726712507257377
kangra,2012,himachal pradesh,2.909089046764301
bangalore,2013,karnataka,2.848659224015264
jammu,2014,jammu kashmir,2.7445212287870264
rajouri,2014,jammu kashmir,3.587980252023827
poonch,2014,jammu kashmir,3.6482184338597663
chamba,2012,himachal pradesh,2.524336013233437
fatehpur,2012,uttar pradesh,4.154506930454639
bhojpur,2015,bihar,3.1568630902624144
lahaul spiti,2012,himachal pradesh,1.9539706265848413
kullu,2012,himachal pradesh,3.0829246151659984
mandi,2012,himachal pradesh,2.705017733323768
valsad,2012,gujarat,2.055710397143952
hamirpur,2012,uttar pradesh,2.285131851422623
pathankot,2012,punjab,2.4385009573483836
una,2012,himachal pradesh,2.3182879284837385
gir somnath,2012,gujarat,2.4449126876806826
bilaspur,2013,chhattisgarh,2.721895333652042
solan,2012,himachal pradesh,3.0689518582860322
sirmour,2012,himachal pradesh,2.461010932308823
shimla,2012,himachal pradesh,2.5739617509147528
korba,2013,chhattisgarh,2.5098027405373458
kinnaur,2012,himachal pradesh,2.282137146583677
gurdaspur,2012,punjab,2.205160804320761
amritsar,2012,punjab,2.403661749741443
tarn taran,2012,punjab,2.516272966602427
pratapgarh,2012,uttar pradesh,3.1352218961475153
kapurthala,2012,punjab,2.4853660867485723
jalandhar,2012,punjab,2.728638195738471
hisar,2014,haryana,3.7825911557565877
hoshiarpur,2012,punjab,2.646710037422731
nawanshahr,2012,punjab,3.784656525047778
rup nagar,2012,punjab,3.035378949934899
s a s nagar,2012,punjab,3.004690115462933
fatehgarh sahib,2012,punjab,3.393612341662209
ludhiana,2012,punjab,2.6388307613927497
moga,2012,punjab,2.5075381154352905
firozpur,2012,punjab,2.391417235659757
shahjahanpur,2012,uttar pradesh,3.763377628057906
fazilka,2012,punjab,3.1944742605523238
mukatsar,2012,punjab,2.786361892092239
faridkot,2012,punjab,2.846797394589513
bathinda,2012,punjab,2.773747211979748
gandhinagar,2012,gujarat,1.9990120239954903
mansa,2012,punjab,2.9056077254015005
sangrur,2012,punjab,2.8845597502603124
barnala,2012,punjab,2.651354786428088
patiala,2012,punjab,2.4593442667517396
uttarkashi,2012,uttarakhand,3.4590916778483343
chamoli,2012,uttarakhand,4.971012501053893
rudraprayag,2012,uttarakhand,3.9866303405446106
tehri garhwal,2012,uttarakhand,3.826806858577297
dehradun,2012,uttarakhand,3.423095940212748
bankura,2011,west bengal,2.401854620534121
haridwar,2012,uttarakhand,3.468218037980562
jhalawar,2013,rajasthan,2.9173997262538807
pauri garhwal,2012,uttarakhand,3.564209865322397
lakhimpur kheri,2012,uttar pradesh,3.7194786623008853
pithoragarh,2012,uttarakhand,3.207076531354339
bageshwar,2012,uttarakhand,3.012681248675631
almora,2012,uttarakhand,3.3332052182218965
champawat,2012,uttarakhand,2.883210816489225
nainital,2012,uttarakhand,3.5695360808367473
purba medinipur,2011,west bengal,2.1665230954297945
udham singh nagar,2012,uttarakhand,3.359055219504127
purulia,2011,west bengal,2.635228845113107
deoria,2012,uttar pradesh,4.1156043067909645
panchkula,2014,haryana,3.3354655825874913
ambala,2014,haryana,3.3785567221000554
yamunanagar,2014,haryana,3.408272591300368
kurukshetra,2014,haryana,3.2251185353262164
kaithal,2014,haryana,4.290727549260754
karnal,2014,haryana,4.847204265225239
panipat,2014,haryana,3.429814640856816
sonipat,2014,haryana,3.3421534768016765
jind,2014,haryana,3.8433369760635414
fatehabad,2011,haryana,3.6126747106038426
agra,2012,uttar pradesh,3.6855222061759556
sirsa,2014,haryana,3.3084200638577554
bhiwani,2014,haryana,4.067218368274666
gautam budh nagar,2012,uttar pradesh,3.7614964131138264
rohtak,2014,haryana,2.824215197999466
jhajjar,2014,haryana,3.932581160456332
north west delhi,2013,delhi,3.2768614810599717
mahendragarh,2014,haryana,3.526268478448168
rewari,2014,haryana,2.973546271349429
gurgaon,2014,haryana,3.381134023881895
mewat,2014,haryana,3.9604294891352487
palwal,2014,haryana,3.5107641375140304
faridabad,2014,haryana,3.194642441054242
north east delhi,2013,delhi,3.65784442389308
jaipur,2013,rajasthan,2.7333921176382097
chandni chowk,2013,delhi,3.4542980904537703
new delhi,2013,delhi,3.1187011026838984
west delhi,2013,delhi,3.2867675184230682
devbhumi dwarka,2012,gujarat,2.7223648182554836
south delhi,2013,delhi,3.685145434613374
east delhi,2013,delhi,3.3977051381921335
chhatarpur,2013,madhya pradesh,2.8379159673508263
wardha,2014,maharashtra,3.7090243010842636
karimganj,2011,assam,3.348047036089843
ganganagar,2013,rajasthan,3.692038219358597
hanumangarh,2013,rajasthan,3.7666883346404445
bikaner,2013,rajasthan,2.5048479756851525
rohtas,2015,bihar,3.4247221918328674
churu,2013,rajasthan,2.573662767825623
jhunjhunu,2013,rajasthan,3.0837013245283105
sikar,2013,rajasthan,3.0773764413829774
dindori,2013,madhya pradesh,1.6242862500449318
alwar,2013,rajasthan,3.042751184964163
ramgarh,2014,jharkhand,3.616075964481979
bharatpur,2013,rajasthan,3.4410101078785336
murshidabad,2011,west bengal,2.593170967925317
dholpur,2013,rajasthan,3.2738221872922786
jajpur,2014,orissa,2.6570111740368785
karauli,2013,rajasthan,3.6559559108720334
dausa,2013,rajasthan,3.7242764824633396
aurangabad,2014,maharashtra,4.2829949147309065
sawai madhopur,2013,rajasthan,3.42783969946649
tonk,2013,rajasthan,2.893112189084554
ajmer,2013,rajasthan,2.9119246970352233
nagaur,2013,rajasthan,2.582209485482444
pali,2013,rajasthan,2.501297943420288
jodhpur,2013,rajasthan,2.2761244987485876
jaisalmer,2013,rajasthan,2.1356621137980794
barmer,2013,rajasthan,2.5076972283227366
jalore,2013,rajasthan,2.468715435485401
sirohi,2013,rajasthan,2.78250747788567
udaipur,2013,rajasthan,2.498341000117968
dungarpur,2013,rajasthan,2.625941866737316
surat,2012,gujarat,1.9466063611611661
banswara,2013,rajasthan,2.5884031214704897
chittorgarh,2013,rajasthan,2.52957131749379
west tripura,2013,tripura,2.222489208906612
rajsamand,2013,rajasthan,2.353919404096761
bhilwara,2013,rajasthan,2.450861608750207
bundi,2013,rajasthan,2.9665493366143
kota,2013,rajasthan,2.525771356931265
baran,2013,rajasthan,2.390265180348429
kishanganj,2014,bihar,3.608145868904159
saharanpur,2012,uttar pradesh,3.6644036562619697
prabuddha nagar,2012,uttar pradesh,3.454385364859037
muzaffarnagar,2012,uttar pradesh,4.291152781837389
bijnor,2012,uttar pradesh,4.327819597213396
moradabad,2012,uttar pradesh,4.55955915191103
bheem nagar,2012,uttar pradesh,4.103280990077305
rampur,2012,uttar pradesh,5.184113741520041
jyotiba phule nagar,2012,uttar pradesh,4.845493278692305
samastipur,2015,bihar,2.9859036579888194
meerut,2012,uttar pradesh,3.98764616692772
baghpat,2012,uttar pradesh,3.3114667275564695
ghaziabad,2012,uttar pradesh,3.8217920234244374
panchsheel nagar,2012,uttar pradesh,3.730461485970619
bulandshahr,2012,uttar pradesh,4.185919447283966
aligarh,2012,uttar pradesh,4.4644266156740775
gopalganj,2015,bihar,3.2278228241795786
mahamaya nagar,2012,uttar pradesh,3.4675011965275875
mathura,2012,uttar pradesh,3.3073206764411602
firozabad,2012,uttar pradesh,3.161547838108271
kanshiram nagar,2012,uttar pradesh,5.580862092394818
etah,2012,uttar pradesh,4.292112783524441
mainpuri,2012,uttar pradesh,3.627190193664128
badaun,2012,uttar pradesh,4.085167143783554
bareilly,2012,uttar pradesh,4.637449119151639
pilibhit,2012,uttar pradesh,4.467558477096719
lakhimpur,2011,assam,3.4619801323790056
kheri,2012,uttar pradesh,5.5897655417561625
sitapur,2012,uttar pradesh,3.657075787634636
surguja,2013,chhattisgarh,3.2111458479877375
hardoi,2012,uttar pradesh,3.6135262882439423
unnao,2012,uttar pradesh,4.169338575444995
lucknow,2012,uttar pradesh,4.153806336608382
rae bareli,2012,uttar pradesh,4.303709331566856
chhatrapathi shahuji maharaj gar,2012,uttar pradesh,4.201421078360062
sultanpur,2012,uttar pradesh,3.450001746577758
farrukhabad,2012,uttar pradesh,5.843191445736591
raisen,2013,madhya pradesh,3.0751710869148376
kannauj,2012,uttar pradesh,3.5368667996219822
etawah,2012,uttar pradesh,3.014338404452092
auraiya,2012,uttar pradesh,3.5192176153025456
ramabai nagar,2012,uttar pradesh,3.940612394138984
jamui,2015,bihar,4.044053733517689
kanpur grameen,2012,uttar pradesh,3.784701652102092
east champaran,2015,bihar,3.278147984324612
kanpur nagar,2012,uttar pradesh,3.852629677540699
jalaun,2012,uttar pradesh,5.002148180548315
jhansi,2012,uttar pradesh,4.122710620863867
lalitpur,2012,uttar pradesh,4.802779687110407
mahoba,2012,uttar pradesh,4.544409963062508
banda,2012,uttar pradesh,4.472344949506601
sagar,2013,madhya pradesh,2.774074131950557
satna,2013,madhya pradesh,3.6863582665990147
chitrakoot,2012,uttar pradesh,5.484579911618189
jahanabad,2015,bihar,3.3746474832711484
bardhaman,2011,west bengal,2.2599490526164074
kaushambi,2012,uttar pradesh,4.1765112736470975
allahabad,2012,uttar pradesh,4.382366907583151
surajpur,2013,chhattisgarh,3.4206417096558623
faizabad,2012,uttar pradesh,4.02452213177383
ambedkar nagar,2012,uttar pradesh,2.8996361359105447
bahraich,2012,uttar pradesh,5.063859267536487
shravasti,2012,uttar pradesh,4.152128244705542
balrampur,2013,chhattisgarh,3.863660712346495
katihar,2015,bihar,3.956912603193365
gonda,2012,uttar pradesh,3.9294676298304814
siddharth nagar,2012,uttar pradesh,4.767499926580376
basti,2012,uttar pradesh,4.001537030589265
sant kabir nagar,2012,uttar pradesh,4.942905640990279
maharajganj,2012,uttar pradesh,5.082165910413142
siwan,2015,bihar,3.6717954769156713
gorakhpur,2012,uttar pradesh,4.482498323971022
kushinagar,2012,uttar pradesh,5.593881291994899
azamgarh,2012,uttar pradesh,3.7766057425230732
ganjam,2014,orissa,2.592611704217305
nizamabad,2014,telangana,1.643582946237713
vaishali,2015,bihar,3.2526910775008586
mau,2012,uttar pradesh,4.5194362347343455
ballia,2012,uttar pradesh,4.504893090500573
jaunpur,2012,uttar pradesh,4.086937928456926
ghazipur,2012,uttar pradesh,3.812634066635541
chandauli,2012,uttar pradesh,3.7927342930531784
varanasi,2012,uttar pradesh,4.761196751843675
sant ravidas nagar,2012,uttar pradesh,3.3399734665823475
muzaffarpur,2015,bihar,3.011574614817347
mirzapur,2012,uttar pradesh,4.204138485251244
sonbhadra,2012,uttar pradesh,4.641300983904344
west champaran,2015,bihar,3.1725724624773424
sheohar,2015,bihar,4.73309934467873
sitamarhi,2015,bihar,3.7637898972087402
madhubani,2015,bihar,3.532201931475662
supaul,2015,bihar,2.6966111585399313
araria,2015,bihar,2.643651014136614
purnea,2011,bihar,3.694562097360245
south twenty four parganas,2011,west bengal,2.240367246174432
madhepura,2015,bihar,3.346758712016602
saharsa,2015,bihar,3.1947432836189416
darbhanga,2014,bihar,2.990133956920963
koria,2013,chhattisgarh,3.57163842104492
saran,2015,bihar,3.860971878223292
nadia,2011,west bengal,2.3883999801263824
subarnapur,2014,orissa,2.9051287545591027
begusarai,2015,bihar,3.003843762683748
khagaria,2015,bihar,3.3177073970273696
khagari a,2014,bihar,2.696209091139921
bhagalpur,2015,bihar,3.126068013681614
south tripura,2013,tripura,2.0514880020421913
banka,2015,bihar,3.010821391722183
munger,2015,bihar,2.813884740432184
lakhisarai,2015,bihar,2.9943381586295974
sheikhpura,2015,bihar,4.524103817385084
nalanda,2015,bihar,2.882294503210657
sangli,2014,maharashtra,2.8591421889761435
patna,2015,bihar,2.8842362498006966
nagaon,2011,assam,2.7402701403863845
buxar,2015,bihar,3.166178898172686
buxor,2015,bihar,3.0384937044233546
kaimur,2015,bihar,3.158414497876248
kaimur bhabhua,2015,bihar,4.002516942754281
arwal,2015,bihar,3.3974651308810597
ar wal,2015,bihar,4.493883554848838
gaya,2015,bihar,3.157200344506238
nawada,2015,bihar,2.8965885853185602
west,2014,sikkim,2.0360134018168456
south,2014,sikkim,1.8501628583688765
east,2014,sikkim,2.1499469495767456
north,2014,sikkim,2.0457846661317376
sangha,2014,sikkim,2.2405937967906007
tawang,2014,arunachal pradesh,1.48538331227833
west kameng,2014,arunachal pradesh,1.7471327384556117
east kameng,2014,arunachal pradesh,1.6130330407442088
papum pare,2014,arunachal pradesh,1.3678978308437735
lower subansiri,2014,arunachal pradesh,2.1244276443486942
kurung kumey,2014,arunachal pradesh,1.500569912103466
upper subansiri,2014,arunachal pradesh,1.6127619594302947
west siang,2014,arunachal pradesh,2.269235453508075
upper siang,2014,arunachal pradesh,2.192632684464508
east siang,2014,arunachal pradesh,1.8266230271479593
dibang valley,2014,arunachal pradesh,2.032734588649934
lower dibang valley,2014,arunachal pradesh,2.1690522265403587
lohit,2014,arunachal pradesh,2.2886470109862413
anjaw,2014,arunachal pradesh,1.5831796408924281
changlang,2014,arunachal pradesh,2.3697104686706183
tirap,2014,arunachal pradesh,2.813470596794801
dimapur,2013,nagaland,2.636287279627765
peren,2013,nagaland,2.8118682907704597
kohima,2013,nagaland,2.056322211439068
pughoboto,2013,nagaland,1.9314442366553812
phek,2013,nagaland,2.704380988011672
mokokchung,2013,nagaland,2.3440450332469576
zunheboto,2013,nagaland,2.1057450444923
wokha,2013,nagaland,3.045145692655594
mon,2013,nagaland,2.2764702976907527
longleng,2013,nagaland,2.1135345321505947
tuensang,2013,nagaland,2.6162523690542963
kiphire,2013,nagaland,1.9911344230958452
imphal east,2012,manipur,3.067629539512564
imphal west,2012,manipur,3.1405619990297446
bishnupur,2012,manipur,3.11861447987014
thoubal,2012,manipur,2.5655573650504886
chandel,2012,manipur,3.3452696207728585
ukhrul,2012,manipur,3.622265006674604
senapati,2012,manipur,2.5204460307666516
tamenglong,2012,manipur,2.490411253185101
churachandpur,2012,manipur,2.8704434655077815
mamit,2013,mizoram,2.955065769529526
kolasib,2013,mizoram,3.0141329249792204
tuivawl,2013,mizoram,2.7574158514412637
champhai,2013,mizoram,2.8991418269466114
serchhip,2013,mizoram,2.9448640110494306
lunglei,2013,mizoram,2.3927673605213937
lawngtlai,2013,mizoram,2.0148704006339444
saiha,2013,mizoram,2.036749302433064
dhalai,2013,tripura,2.1670959928619418
rangia,2011,assam,4.428591701291527
north tripura,2013,tripura,2.1965728944372565
west jaintia hills,2013,meghalaya,3.079609621510847
east jaintia hills,2013,meghalaya,2.869592680410695
