STATE,litrate
ANDHRA PRADESH,67.02
ARUNACHAL PRADESH,65.38
ASSAM,72.19
BIHAR,61.8
GOA,86.05
GUJARAT,78.03
HARYANA,75.55
HIMACHAL PRADESH,82.8
JAMMU & KASHMIR,67.16
JHARKHAND,66.41
KARNATAKA,75.36
KERALA,94
MADHYA PRADESH,69.32
CHHATTISGARH,70.28
MAHARASHTRA,82.34
MANIPUR,76.94
MEGHALAYA,74.43
MIZORAM,91.33
NAGALAND,79.55
ORISSA,72.87
PUNJAB,75.84
RAJASTHAN,66.11
SIKKIM,81.42
TAMIL NADU,80.09
TRIPURA,87.22
UTTAR PRADESH,67.68
UTTARAKHAND,78.82
WEST BENGAL,76.26
ANDAMAN & NICOBAR ISLANDS,86.63
CHANDIGARH,86.05
DELHI,86.21
PUDUCHERRY,85.85
TELANGANA,66.54